,,,,,,,,,,,,,,,,
,Address,Type,Non brand clicks (3mnt),Sessions (3mnth),Sessions (6mnth),# links (desc),# links (faq),SKUs,score (traffic averages),priority score,Status,Current Intro,Intro (NEW),LEN (new),BATCH,Status
200,https://www.thegoodguys.com.au/haier/cooking-and-dishwashers/cooktops,B2,47,49,126,5,0,16,18,26,200,"Heighten culinary skills with a quality Haier Cooktop available online and in store at The Good Guys. Get a good deal on <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/cooking-and-dishwashers/cooktops/induction-cooktops"" target=""_self"">Induction</a> , <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/cooking-and-dishwashers/cooktops/gas-cooktops"" target=""_self"">Gas</a> and <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/cooking-and-dishwashers/cooktops/ceramic-cooktops"" target=""_self"">Ceramic Cooktops</a> from Haier in 60cm and 90cm models and a variety of styles, colours and finishes that ensure great looks and <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/cooking-and-dishwashers"" target=""_self"">Cooking</a> performance wherever it goes. Whether whipping up family favourites or impressing friends, find the perfect Haier <a class=""_link_tqira_18"" data-discover=""true"" href=""/cooking-and-dishwashers/cooktops"" target=""_self"">Cooktop</a> at The Good Guys.","Cook precisely with Haier Cooktops from The Good Guys, offering fast induction heating, responsive gas control, and easy-clean ceramic surfaces. Explore 60cm and 90cm options with multiple zones and smart layouts to suit everyday cooking or entertaining.",254,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/haier/laundry/washing-machines/washer-dryer-combo,B3,40,36,120,5,0,2,15,23,200,"Get through Washing and Drying in one go with the best Haier Washer Dryer Combo machines online and in store at The Good Guys. Get a good deal on a Haier <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/laundry/washing-machines/front-load-washing-machines"" target=""_self"">Front Load</a> Combination Washer <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/laundry/dryers"" target=""_self"">Dryers</a> that make sure of fresh and clean <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/laundry"" target=""_self"">Laundry</a> even when the weather outside is a let down. Haier’s <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/laundry/dryers/washer-dryer-combos"" target=""_self"">Washer Dryer Combos</a> have an up to 8kg capacity and a 4kg drying capacity, perfect for families of three or four to wash and dry everyone’s clothes. Find an excellent Haier <a class=""_link_tqira_18"" data-discover=""true"" href=""/laundry/washing-machines/washer-dryer-combo"" target=""_self"">Washer Dryer Combo</a> machine at The Good Guys.","Save space with Haier washer dryer combos combining washing and drying in one unit with practical programs for daily loads. Shop Haier at The Good Guys for smart cycles, temperature control and compact designs that keep clothes fresh when space is limited.",256,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/sony/televisions/all-tvs/4k-tvs,B3,10,20,86,5,0,23,8,12,200,"Find the best <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/sony"" target=""_self"">Sony</a> 4K TVs online or in store from The Good Guys. You'll get a good deal on <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/sony/televisions/all-tvs/4k-tvs"" target=""_self"">Sony 4K Ultra HD</a> televisions in a variety of display sizes and ranges such as the Bravia TVs to recreate the cinema in your own home. <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/sony/televisions"" target=""_self"">Sony’s Smart TV</a> platform gives you easy access to a variety of <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/televisions/media-players/streaming-devices"" target=""_self"">Streaming</a> services, including Netflix, Stan, and YouTube, thus you can find and enjoy your favourite shows and movies. Explore the complete range of Sony televisions at The Good Guys and elevate your home entertainment experience, also browse our range of <a class=""_link_tqira_18"" data-discover=""true"" href=""/deals/tvs"" target=""_self"">TV Deals</a> to snag amazing deals!","Enjoy cinematic detail with Sony 4K TVs delivering rich contrast, smooth motion and smart streaming for movies, sport and gaming. Discover Sony 4K options at The Good Guys with advanced processing, HDR support and screen sizes that suit your space.",248,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/electrolux/laundry,B1,0,16,60,5,0,11,5,7,200,"Enjoy clean, dry clothes every day when you buy the best Electrolux Laundry appliances in Australia online and in store at The Good Guys. You’ll get a good deal across a huge range of quality Electrolux <a class=""_link_tqira_18"" data-discover=""true"" href=""/electrolux/laundry/dryers"" target=""_self"">dryers</a> and <a class=""_link_tqira_18"" data-discover=""true"" href=""/electrolux/laundry/washing-machines"" target=""_self"">washing machines</a> . Electrolux dryers are available in <a class=""_link_tqira_18"" data-discover=""true"" href=""/electrolux/dryers/small-dryers"" target=""_self"">small</a> , <a class=""_link_tqira_18"" data-discover=""true"" href=""/electrolux/laundry/dryers/medium-dryers"" target=""_self"">medium</a> and <a class=""_link_tqira_18"" data-discover=""true"" href=""/electrolux/laundry/dryers/large-dryers"" target=""_self"">large</a> sizes to take the hassle out of your laundry days, no matter how big your household is. No matter how frequent or large your laundry loads are, you’ll find the right washing machine and dryer for your home at The Good Guys.","Keep laundry organised with Electrolux washers and dryers plus stacking kits, quick cycles and large capacities for everyday loads. Discover the Electrolux range at The Good Guys with heat pump dryers, front loaders and sensor drying.",234,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/haier/cooking-and-dishwashers,B1,,16,46,5,0,30,4,6,200,"Cook up a storm with ease across our Haier Cooking Appliances and Dishwashers online and in store at The Good Guys. Get a good deal on Haier <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/cooking-and-dishwashers/ovens"" target=""_self"">Ovens</a> , <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/cooking-and-dishwashers/cooktops"" target=""_self"">Cooktops</a> , <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/cooking-and-dishwashers/rangehoods"" target=""_self"">Rangehoods</a> and <a class=""_link_tqira_18"" data-discover=""true"" href=""/haier/cooking-and-dishwashers/dishwashers"" target=""_self"">Dishwashers</a> for a stylish, functional and comfortable kitchen. Haier Cooking Appliances offer practical, value for money solutions for everyday use in a variety of designs, colours and finishes that will look great with any kitchen's décor. Find the best <a class=""_link_tqira_18"" data-discover=""true"" href=""/cooking-and-dishwashers"" target=""_self"">Cooking Appliances</a> at the best prices with The Good Guys.","Stay efficient in the kitchen with Haier cooking and dishwashing with fast heating, precise control and strong rangehood extraction. Explore Haier ovens, cooktops and dishwashers at The Good Guys for space-smart design, multiple functions.",239,Batch 1,Briefed for bulk upload
404,https://www.thegoodguys.com.au/hisense/televisions/all-tvs/latest-tvs,B3,1,20,40,5,0,25,4,6,200,"Discover the latest in home entertainment with 2025 Hisense TVs, available at The Good Guys, featuring the newest advancements in <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/hisense/televisions/all-tvs/4k-televisions"" target=""_self"">4K</a> and 8K resolution, Quantum Dot technology, and AI-powered picture enhancements. The 2025 Hisense TVs also come with <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/hisense/televisions/smart-tvs"" target=""_self"">Smart TV</a> capabilities, allowing you to seamlessly access your favourite streaming services, apps, and more, all from one intuitive interface. Maximise your setup by adding a <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/hisense/audio/home-audio/sound-bars"" target=""_self"">Hisense Soundbar</a> for immersive audio, and mount your TV with a <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/televisions/wall-mounts-and-stands/tv-wall-brackets"" target=""_self"">TV Wall Bracke</a><a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/televisions/wall-mounts-and-stands/tv-wall-brackets"" target=""_self"">t</a> for the best viewing angles.","Stay immersed in every scene with 2025 Hisense Latest TVs from The Good Guys, offering sharp 4K detail, Mini LED backlighting and vibrant QLED colour. Stream, game and browse with smart connectivity, advanced upscaling and screen sizes to suit any room.",253,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/solt/heating-and-cooling/air-conditioners/portable-air-conditioners,B3,1,36,40,5,0,3,6,9,200,"Stay cool and comfortable this summer with the convenience of Solt Portable Air Conditioners, available at The Good Guys! Perfect for apartments, rental homes, or spaces without built-in air conditioning, <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/solt"" target=""_self"">Solt</a>’s portable units offer powerful cooling in a compact, mobile design. Simply roll the unit into any room and enjoy instant relief from the heat. Equipped with adjustable temperature settings and user-friendly modes, you can easily customise your cooling experience to fit your needs, you can easily create your perfect indoor climate. Many models also feature remote controls and timer functions, allowing you to program your cooling to fit your schedule seamlessly. Plus, check out our hassle-free <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/home-services/air-conditioning-installation"" target=""_self"">Installation Services</a> for a painless <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/samsung/heating-and-cooling/air-conditioners"" target=""_self"">Split System</a> air conditioning install if you’re considering a more permanent solution. If you ever lose your remote, browse our range of universal <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/smart-home/connected-home/home-automation"" target=""_self"">Aircon Remote</a> technology, allowing you to control your home’s temperature with ease. Browse more <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/deals/air-conditioners-and-fans"" target=""_self"">Air Conditioner Deals</a> and find your perfect match at The Good Guys!","Beat the heat with Solt portable air conditioners offering efficient cooling, adjustable fan speeds and easy room-to-room mobility. Look for timer controls, dehumidify modes and simple setup at The Good Guys to keep rentals and smaller spaces comfortable.",255,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/miele/cooking-and-dishwashers,B1,,,33,5,0,30,2,3,200,"Buy Miele's range of Cooking and Dishwasher products online or in store from The Good Guys. Choose from an extensive range of <a class=""_link_tqira_18"" data-discover=""true"" href=""/cooking-and-dishwashers/ovens"" target=""_self"">Ovens</a> , <a class=""_link_tqira_18"" data-discover=""true"" href=""/cooking-and-dishwashers/cooktops"" target=""_self"">Cooktops</a> , <a class=""_link_tqira_18"" data-discover=""true"" href=""/cooking-and-dishwashers/dishwashers"" target=""_self"">Dishwashers</a> , <a class=""_link_tqira_18"" data-discover=""true"" href=""/cooking-and-dishwashers/rangehoods"" target=""_self"">Rangehoods</a> and more. <a class=""_link_tqira_18"" data-discover=""true"" href=""/miele"" target=""_self"">Miele</a> is made to last, offering intuitive technology, simplicity and functionality to make cooking enjoyable regardless of your expertise.","Cook and clean with Miele ovens, cooktops and dishwashers built for precise heat, pyrolytic self-cleaning and quiet, water-smart cycles. Shop Miele cooking and dishwashing at The Good Guys to streamline prep and get consistent results in busy kitchens.",252,Batch 1,Briefed for bulk upload
404,https://www.thegoodguys.com.au/samsung/televisions/all-tvs/latest-tvs,B3,,,27,5,0,30,1,2,200,"Discover the latest and greatest <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/samsung"" target=""_self"">Samsung</a> 2025 televisions in store or online at The Good Guys. You'll get a good deal on Samsung smart TVs including <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/televisions/all-tvs/4k-tvs"" target=""_self"">4K</a> <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/lg/televisions/ultra-hd-tvs"" target=""_self"">Ultra HD</a> and <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/lg/televisions/all-tvs/8k-tvs"" target=""_self"">8K</a> Neo QLED televisions with revolutionary Quantum Mini LEDs and Quantum Dot Technology, alongside the new <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/televisions/oled-tvs"" target=""_self"">OLED</a> range that produce outstanding contrast and lifelike colour - or the innovative Lifestyle TVs like The Terrace for the outdoors, or The Serif or The Frame 4K TV that offer both enhanced viewing and living with their picture quality and artistic style. From screens as large as 85 inches and beyond with Samsung 4K projectors, right down to 43 inch for the home office or bedroom, there is a Samsung TV for every room and lifestyle.","Stay immersed in every scene with Samsung Latest TVs, combining 4K and 8K clarity, QLED, OLED and Neo QLED screens, plus smart connectivity. Discover cinematic viewing, gaming-ready performance and space-saving designs from The Good Guys for your home.",252,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/philips/small-kitchen-appliances,B1,1,8,20,5,0,30,2,3,200,"Buy the best <a class=""_link_tqira_18"" data-discover=""true"" href=""/philips"" target=""_self"">Philips</a> small kitchen appliances in Australia online or in store at The Good Guys. You'll get a good deal on the latest Philips <a class=""_link_tqira_18"" data-discover=""true"" href=""/philips/small-kitchen-appliances/benchtop-cooking"" target=""_self"">benchtop cooking appliances</a> including <a class=""_link_tqira_18"" data-discover=""true"" href=""/philips/benchtop-cooking/air-fryers"" target=""_self"">airfryers</a> and <a class=""_link_tqira_18"" data-discover=""true"" href=""/philips/benchtop-cooking/slow-cookers-and-pressure-cookers"" target=""_self"">slow cookers</a> , as well as a range of innovative <a class=""_link_tqira_18"" data-discover=""true"" href=""/philips/small-kitchen-appliances/coffee-machines-and-beverages"" target=""_self"">water solutions</a> like filtered drink bottles and water jugs.","Speed up everyday prep with Philips small kitchen appliances covering air fryers, coffee machines and water filtration for routines. Shop Philips at The Good Guys for compact designs, preset programs and practical features that support cooking.",244,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/norton/computers-tablets-and-gaming/software-and-accessories/home-business-and-security-software,B3,,,0,5,0,5,0,0,200,"Protect your devices and personal information from cyber threats with Norton Home Business and Security Software from The Good Guys. Following the grow of cyber threats, <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/computers-tablets-and-gaming/software-and-accessories/home-business-and-security-software"" target=""_self"">Internet Security</a> has become essential to safeguard your online activities. Norton’s advanced security defend against viruses, malware, phishing attacks, and ransomware, giving you peace of mind when you’re shopping, paying online, or simply browsing the web on your <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/computers-tablets-and-gaming/desktop-and-laptop/laptops"" target=""_self"">Laptop</a> . With features like real-time threat protection, Norton AntiVirus Plus automatically detects and neutralises emerging threats before they can harm your system. For those working from home or frequently accessing sensitive data, Norton’s firewall, password manager, and secure VPN add an extra layer of defense, keeping your data safe even on public Wi-Fi. Norton Internet Security is easy to install and manage, providing 24/7 protection across multiple devices, including <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/microsoft/home-business-and-security-software"" target=""_self"">Windows</a> , Mac, and Android platforms. Pair your Norton software with our range of <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/computers-tablets-and-gaming/computer-storage"" target=""_self"">External Storage</a> solutions for safe backups and explore <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/computers-tablets-and-gaming/networking"" target=""_self"">Networking Products</a> to improve both security and performance.","Protect devices at The Good Guys with Norton security software designed to help block viruses, malware and phishing threats. Choose Norton plans with real-time protection, privacy tools and multi-device coverage to keep work and personal data safer.",249,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/lg/fridges-and-freezers,B1,983,1136,3985,5,14,29,449,84,200,"Buy the best LG Fridge and Freezer models in Australia when you shop online and in-store at The Good Guys. You’ll get a good deal across a huge range of LG <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/lg/fridges-and-freezers/refrigerators/french-door-fridges"" target=""_self"">French door fridges</a> , <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/lg/fridges-and-freezers/refrigerators/side-by-side-fridges"" target=""_self"">side by side fridges</a> , <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/lg/fridges-and-freezers/refrigerators/bottom-mount-fridges"" target=""_self"">bottom mount fridges</a> and <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/lg/fridges-and-freezers/refrigerators/top-mount-fridges"" target=""_self"">top mount fridges</a> that will keep food and groceries fresh and favourite beverages chilled. LG’s InstaView Refrigerator range features a sleek glass panel on the door, just knock twice to see inside to browse foods and snacks or check what groceries are needed without opening the fridge and letting out cool air. Find the right <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/fridges-and-freezers"" target=""_self"">fridges and freezers</a> at The Good Guys.","Keep food fresher for longer with LG fridges and freezers offering precise cooling, generous storage, and energy-efficient performance. Explore French door, side by side, bottom mount and top mount options from The Good Guys for smart, stylish kitchen cooling.",260,Batch 2,Not Started
200,https://www.thegoodguys.com.au/chiq/fridges-and-freezers/freezers,B2,155,146,379,5,0,8,54,81,200,"Discover amazing deals on ChiQ freezers, available online and in-store at The Good Guys. Known for their sleek designs and energy-efficient performance, <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/chiq"" target=""_self"">CHiQ</a> freezers come in a variety of sizes and styles to fit any household. Whether you need an <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/chiq/fridges-and-freezers/freezers/upright-freezers"" target=""_self"">Upright Freezer</a> for easy access or a <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/chiq/fridges-and-freezers/freezers/chest-freezers"" target=""_self"">Chest Freezer</a> for maximum storage, CHiQ has you covered. These freezers come packed with handy features like adjustable temperature settings, removable storage baskets, and fast freeze functions that help lock in nutrients and keep your food at its best. Plus, pairing your CHiQ freezer with a <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/chiq/fridges-and-freezers/refrigerators"" target=""_self"">CHiQ Refrigerator</a> creates a complete, energy-efficient matching set for your kitchen. Shop the range of CHiQ freezers or browse <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/deals/fridges"" target=""_self"">Fridge Deals</a> at The Good Guys and enjoy your new, spacious, energy-efficient storage for all your frozen goods.","Store more with CHiQ Freezers from The Good Guys, offering flexible upright and chest designs, fast-freeze cooling and spacious capacities for weekly shops and bulk storage. Save time with adjustable baskets and precise temperature control that help keep food organised and ready when you need it.",297,Batch 2,Not Started
200,https://www.thegoodguys.com.au/hisense/fridges-and-freezers/freezers,B2,128,97,399,5,0,7,47,70,200,"Keep your food fresh and organised with Hisense freezers, available at The Good Guys. Whether you have a bustling household or live in a cosy apartment, <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/hisense"" target=""_self"">Hisense</a> has the perfect freezer for you, offering a range of capacities to meet your needs. Hisense freezers come equipped with adjustable temperature settings and energy-efficient designs, ensuring your frozen food stays perfectly preserved while helping you save on electricity bills. You can choose between <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/hisense/fridges-and-freezers/freezers/upright-freezers"" target=""_self"">Upright Freezers</a> for easy access and organised storage, or <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/hisense/fridges-and-freezers/freezers/chest-freezers"" target=""_self"">Chest Freezers</a> that provide maximum capacity for bulk storage. Hisense freezers feature super-freeze technology. This helps lock in nutrients, ensuring your food stays fresher for longer. Pair your freezer with a <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/hisense/fridges-and-freezers/refrigerators"" target=""_self"">Hisense Fridge</a> for a complete kitchen storage organisation that meets all your needs. Explore more <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/deals/fridges"" target=""_self"">Fridge & Freezer Deals</a> at The Good Guys and enjoy your new, spacious, energy-efficient storage for all your frozen goods.","Keep food fresher for longer with Hisense freezers offering generous capacity, fast-freeze modes and energy-efficient cooling. Explore upright and chest options at The Good Guys for organised storage, flexible temperature control and space to stock bulk buys or meal prep.",272,Batch 2,Not Started
200,https://www.thegoodguys.com.au/westinghouse/fridges-and-freezers/refrigerators,B2,11,186,445,5,0,19,44,66,200,"You'll get a good deal when you buy a <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/westinghouse"" target=""_self"">Westinghouse</a> fridge online or in store from The Good Guys. Order a <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/westinghouse/fridges-and-freezers/refrigerators/top-mount-fridges"" target=""_self"">Westinghouse top mount</a> , <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/westinghouse/fridges-and-freezers/refrigerators/bottom-mount-fridges"" target=""_self"">bottom mount</a> , <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/westinghouse/fridges-and-freezers/refrigerators/french-door-fridges"" target=""_self"">french door</a> and <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/westinghouse/fridges-and-freezers/refrigerators"" target=""_self"">bar fridge</a> now for a good, solid, reliable appliance that gets the job done and is cool inside and out.","Keep food fresher with Westinghouse Refrigerators offering flexible storage, precise temperature control and family-sized capacities. Explore French door, top mount, bottom mount and quad door fridges at The Good Guys to optimise space, cut waste and streamline everyday cooling.",279,Batch 2,Not Started
200,https://www.thegoodguys.com.au/fisher-and-paykel/fridges-and-freezers/refrigerators/bottom-mount-fridges,B3,97,129,206,5,0,3,36,54,200,"Elevate your kitchen with Fisher & Paykel Bottom Mount Fridges, available at The Good Guys! These fridges are designed for both style and practicality, making them the perfect addition to any home. You will have the fridge at eye level and the freezer conveniently located below, you can easily access your favorite foods without any hassle. <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/fisher-and-paykel/fridges-and-freezers/refrigerators"" target=""_self"">Fisher & Paykel Fridges</a> feature innovative ActiveSmart technology, which automatically adjusts airflow and temperature to keep your food fresher for longer. With a variety of sizes and styles available, you’re sure to find a bottom mount fridge that fits perfectly in your kitchen, other options you might want to consider are <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/fridges-and-freezers/refrigerators/french-door-fridges"" target=""_self"">French Door</a> or <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/fridges-and-freezers/refrigerators/top-mount-fridges"" target=""_self"">Top Mount</a> . Pair your Fisher & Paykel fridge with a matching <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/fisher-and-paykel/fridges-and-freezers/freezers"" target=""_self"">Freezer</a> for even more storage solutions. Check out our full range of <a class=""_link_1fbwu_19"" href=""https://www.thegoodguys.com.au/small-kitchen-appliances"" target=""_self"">Kitchen Appliances</a> ’ to complete your benchtop!","Save time with Fisher & Paykel Bottom Mount Fridges from The Good Guys, keeping fresh items at eye level and frozen food below. Benefit from spacious layouts, flexible shelving, and precise cooling that helps maintain food quality and reduce waste.",248,Batch 2,Not Started
200,https://www.thegoodguys.com.au/smeg/fridges-and-freezers/refrigerators,B2,62,105,325,5,0,1,36,53,200,"You’ll get a good deal when you buy <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/smeg"" target=""_self"">Smeg</a> fridges online or in store from The Good Guys – whether it’s a <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/smeg/fridges-and-freezers/refrigerators/top-mount-fridges"" target=""_self"">top mount</a> , <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/smeg/fridges-and-freezers/refrigerators/bottom-mount-fridges"" target=""_self"">bottom mount</a> , or <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/smeg/fridges-and-freezers/refrigerators/bar-fridges"" target=""_self"">bar fridges</a> & <a class=""_link_1fbwu_19"" data-discover=""true"" href=""/smeg/fridges-and-freezers/refrigerators/wine-fridges"" target=""_self"">wine coolers</a> . Purchase an environmentally sustainable refrigerator with an distinct and innovative design.","Protect your groceries with Smeg refrigerators offering efficient cooling, integrated designs, and space-smart storage. Find bottom mount and bar-style options at The Good Guys to match your kitchen layout while supporting energy-conscious performance and streamlined organisation.",281,Batch 2,Not Started
200,https://www.thegoodguys.com.au/bosch/laundry/washing-machines,B2,1457,1273,4251,4,0,7,536,751,200,"Find a good deal on Bosch washing machine at The Good Guys, offering German-engineered reliability with smart features for superior cleaning. Bosch washers provide quiet and efficient performance with their EcoSilence Drive technology, while ensuring minimal water wastage by adjusting the usage to each load with ActiveWater Plus. The SpeedPerfect function cuts washing time by up to 65% without reducing the cleaning results, making it ideal for busy households. If allergies are a concern, the AllergyPlus cycle removes allergens for a deeper, more hygienic wash. For the best results, pair your Bosch washing machine with a <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/bosch/laundry/dryers"" target=""_self""><b>Bosch Dryer</b></a> for an efficient laundry solution, from <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/laundry/dryers/heat-pump-dryers"" target=""_self""><b>Heat Pump</b></a> or <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/laundry/washing-machines/washer-dryer-combo"" target=""_self""><b>Washer Dryer Combo</b></a> for even more convenience. Need help choosing the right model? Explore our <a class=""_link_tqira_18"" href=""https://www.thegoodguys.com.au/buying-guide/washing-machine-buying-guide"" target=""_self""><b>Washing Machine Buying Guide</b></a> for more information.","Refresh wash days with Bosch washing machines using quiet motors and tailored programs that handle cottons, delicates and bedding. Discover the Bosch washer range at The Good Guys with 9kg to 10kg capacities, AutoDose on select models and fast cycles.",251,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/fujitsu/heating-and-cooling/air-conditioners,B2,1256,1508,3626,4,0,11,503,704,200,"Shop leading Fujitsu Air Conditioners here at The Good Guys in store and online. Choose from cheap cooling <a class=""_link_g2ewd_15"" href=""https://www.thegoodguys.com.au/fujitsu/heating-and-cooling/air-conditioners/split-system-air-conditioners"" target=""_self"">Split System Air Conditioners</a> or flexible heating and cooling <a class=""_link_g2ewd_15"" href=""https://www.thegoodguys.com.au/fujitsu/heating-and-cooling/heaters/reverse-cycle-air-conditioners"" target=""_self"">Reverse Cycle Air Conditioners</a> . Pick up a model with an <a class=""_link_g2ewd_15"" href=""https://www.thegoodguys.com.au/fujitsu/heating-and-cooling#facet:4350189101115"" target=""_self"">Inverter</a> compressor that works across many fan, cooling and heating speeds ensuring you’re only using as much energy as you need to. Economically cool a room with a smaller 2.5kW aircon or control your homes climate with up to 9.4kW of cooling that’s enough for most single level houses. Connect Fujitsu aircons to Wi-Fi to control them not just via the included remotes but also Google Home, Amazon Alexa and Apple HomeKit devices and the myanywAiR app. We can also help with professional and reasonably priced <a class=""_link_g2ewd_15"" href=""https://www.thegoodguys.com.au/home-services/air-conditioning-installation"" target=""_self"">Air Conditioner Installation</a> by certified electricians to ensure your warranty and safety. Discover why a Fujitsu Air Conditioner is Australia’s Favourite Air today with The Good Guys.","Stay comfortable with Fujitsu air conditioners offering efficient heating and cooling, quiet operation and inverter performance. Explore split system and reverse cycle options at The Good Guys to fine-tune room temperature with sizes.",234,Batch 1,Briefed for bulk upload
200,https://www.thegoodguys.com.au/tcl/televisions,B1,740,1245,3613,4,14,29,410,72,200,"Looking for a TV that fits your lifestyle? At The Good Guys, we offer a range of <a class=""_link_g2ewd_15"" data-discover=""true"" href=""/tcl"" target=""_self"">TCL</a> TVs that cater to all your entertainment needs. From the stunning visuals of <a class=""_link_g2ewd_15"" data-discover=""true"" href=""/tcl/televisions/qled-tvs"" target=""_self"">TCL QLED TVs</a> to the crisp clarity of <a class=""_link_g2ewd_15"" data-discover=""true"" href=""/tcl/televisions/all-tvs/4k-tvs"" target=""_self"">TCL Ultra HD 4K TVs</a>, there's something for everyone. Need a reliable option without breaking the bank? Our <a class=""_link_g2ewd_15"" data-discover=""true"" href=""/tcl/televisions/full-hd-tvs"" target=""_self"">TCL Full HD TVs</a> and TCL HD TVs provide excellent picture quality at affordable prices. For those who love smart technology, check out our TCL Smart TVs with intuitive features and easy navigation. Want to control your TV with just your voice? TCL Voice Remote TVs make that possible. Explore the vibrant colours of TCL Quantum Dot TVs and the latest innovations with TCL 2025 TVs. Whether you're streaming your favourite shows or enjoying a family movie night, you'll find the perfect TCL television at The Good Guys, available both online and in-store.","Enjoy big-screen value with TCL televisions offering 4K clarity, HDR colour and smooth motion with smart streaming built in. Explore TCL QLED and Mini LED options at The Good Guys with Google TV, voice control and gaming-ready features for every room.",251,Batch 1,Briefed for bulk upload
