# ----------------------------------------
# GA4 - TGG App + Web RollUp
# Traffic acquisition: Session primary channel group (Default Channel Group)-Tab 3
# 20260130-20260429
# ----------------------------------------

,Session primary channel group (Default Channel Group),Cross-network,Cross-network,Cross-network,Cross-network,Organic Search,Organic Search,Organic Search,Organic Search,Direct,Direct,Direct,Direct,Organic Social,Organic Social,Organic Social,Organic Social,Paid Search,Paid Search,Paid Search,Paid Search,Totals,Totals,Totals,Totals
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260131,419,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,443,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260424,47,0,0,0,137,0,0,0,30,0,0,0,181,0,0,0,8,0,0,0,428,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260428,70,0,0,0,129,0,0,0,28,0,0,0,157,0,0,0,13,0,0,0,425,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260201,388,0,0,0,14,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,420,0,0,0
/ninja-foodi-max-xxxl-dual-zone-95l-air-fryer-af400,20260215,47,0,0,0,96,0,0,0,21,0,0,0,42,0,0,0,15,0,0,0,398,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260201,125,0,0,0,148,0,0,0,29,0,0,0,9,0,0,0,34,0,0,0,391,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260308,364,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,389,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260131,126,0,0,0,137,0,0,0,31,0,0,0,23,0,0,0,21,0,0,0,384,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260315,126,0,0,0,115,0,0,0,31,0,0,0,42,0,0,0,20,0,0,0,364,0,0,0
/philips-2000-series-62-litre-xl-airfryer-black-na23000,20260411,21,0,0,0,109,0,0,0,34,0,0,0,7,0,0,0,22,0,0,0,355,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260202,330,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,353,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260203,324,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,350,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260427,320,0,0,0,16,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,346,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260307,311,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,331,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260426,294,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,327,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260429,57,0,0,0,96,0,0,0,32,0,0,0,109,0,0,0,5,0,0,0,323,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260214,65,0,0,0,144,0,0,0,20,0,0,0,14,0,0,0,45,0,0,0,318,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260201,78,0,0,0,156,0,0,0,20,0,0,0,8,0,0,0,31,0,0,0,317,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260308,134,0,0,0,112,0,0,0,23,0,0,0,3,0,0,0,21,0,0,0,311,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260130,290,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,311,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260423,54,0,0,0,162,0,0,0,21,0,0,0,11,0,0,0,19,0,0,0,306,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260424,284,0,0,0,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,305,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260309,283,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,304,0,0,0
/hisense-124l-bar-fridge-hrbf126b?utm_pmaxpaidsearch=,20260301,282,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,300,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260202,76,0,0,0,144,0,0,0,22,0,0,0,2,0,0,0,29,0,0,0,297,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260307,121,0,0,0,94,0,0,0,36,0,0,0,5,0,0,0,13,0,0,0,298,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260314,103,0,0,0,108,0,0,0,31,0,0,0,21,0,0,0,18,0,0,0,297,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260428,276,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,295,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260426,59,0,0,0,144,0,0,0,20,0,0,0,21,0,0,0,16,0,0,0,292,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260425,272,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,292,0,0,0
/philips-2000-series-62-litre-xl-airfryer-black-na23000,20260322,20,0,0,0,73,0,0,0,27,0,0,0,3,0,0,0,7,0,0,0,290,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260221,50,0,0,0,135,0,0,0,36,0,0,0,4,0,0,0,41,0,0,0,289,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11?utm_pmaxpaidsearch=,20260314,266,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,287,0,0,0
/hisense-124l-bar-fridge-hrbf126b?utm_pmaxpaidsearch=,20260226,265,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,287,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260216,48,0,0,0,141,0,0,0,20,0,0,0,0,0,0,0,46,0,0,0,283,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260204,67,0,0,0,135,0,0,0,25,0,0,0,12,0,0,0,26,0,0,0,281,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260217,64,0,0,0,129,0,0,0,33,0,0,0,1,0,0,0,28,0,0,0,280,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260429,270,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260226,62,0,0,0,120,0,0,0,33,0,0,0,18,0,0,0,11,0,0,0,279,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260202,97,0,0,0,99,0,0,0,25,0,0,0,3,0,0,0,18,0,0,0,276,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260131,95,0,0,0,99,0,0,0,16,0,0,0,7,0,0,0,28,0,0,0,274,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260130,83,0,0,0,114,0,0,0,34,0,0,0,8,0,0,0,14,0,0,0,273,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260208,84,0,0,0,113,0,0,0,19,0,0,0,9,0,0,0,16,0,0,0,274,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11?utm_pmaxpaidsearch=,20260222,250,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,272,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260207,71,0,0,0,124,0,0,0,25,0,0,0,18,0,0,0,10,0,0,0,272,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11,20260402,32,0,0,0,105,0,0,0,15,0,0,0,64,0,0,0,15,0,0,0,271,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260220,63,0,0,0,128,0,0,0,22,0,0,0,1,0,0,0,41,0,0,0,270,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260222,52,0,0,0,125,0,0,0,25,0,0,0,5,0,0,0,33,0,0,0,270,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260203,83,0,0,0,105,0,0,0,24,0,0,0,8,0,0,0,23,0,0,0,270,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260312,69,0,0,0,85,0,0,0,27,0,0,0,41,0,0,0,11,0,0,0,262,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260428,81,0,0,0,102,0,0,0,19,0,0,0,7,0,0,0,22,0,0,0,260,0,0,0
/hisense-124l-bar-fridge-hrbf126b?utm_pmaxpaidsearch=,20260228,242,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,261,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260219,32,0,0,0,139,0,0,0,22,0,0,0,8,0,0,0,30,0,0,0,260,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260224,70,0,0,0,120,0,0,0,29,0,0,0,2,0,0,0,16,0,0,0,260,0,0,0
/philips-2000-series-62-litre-xl-airfryer-black-na23000,20260226,33,0,0,0,112,0,0,0,46,0,0,0,18,0,0,0,11,0,0,0,260,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260204,51,0,0,0,131,0,0,0,23,0,0,0,0,0,0,0,26,0,0,0,259,0,0,0
/ninja-foodi-max-xxxl-dual-zone-95l-air-fryer-af400,20260219,40,0,0,0,96,0,0,0,19,0,0,0,20,0,0,0,9,0,0,0,259,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260215,47,0,0,0,113,0,0,0,17,0,0,0,8,0,0,0,52,0,0,0,257,0,0,0
/dyson-v10-cordless-vacuum-447954-01,20260226,13,0,0,0,109,0,0,0,46,0,0,0,17,0,0,0,9,0,0,0,255,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260315,238,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,255,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260313,88,0,0,0,84,0,0,0,21,0,0,0,31,0,0,0,12,0,0,0,253,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260404,47,0,0,0,136,0,0,0,25,0,0,0,12,0,0,0,11,0,0,0,253,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260223,62,0,0,0,120,0,0,0,20,0,0,0,2,0,0,0,27,0,0,0,251,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260203,51,0,0,0,124,0,0,0,20,0,0,0,0,0,0,0,31,0,0,0,252,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260212,38,0,0,0,130,0,0,0,19,0,0,0,13,0,0,0,31,0,0,0,251,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260413,60,0,0,0,137,0,0,0,16,0,0,0,3,0,0,0,21,0,0,0,251,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260314,236,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,250,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260213,42,0,0,0,105,0,0,0,25,0,0,0,10,0,0,0,35,0,0,0,249,0,0,0
/philips-2000-series-62-litre-xl-airfryer-black-na23000,20260320,17,0,0,0,54,0,0,0,20,0,0,0,7,0,0,0,2,0,0,0,249,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260416,50,0,0,0,136,0,0,0,22,0,0,0,5,0,0,0,16,0,0,0,247,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260418,235,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,246,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11?utm_pmaxpaidsearch=,20260315,224,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,246,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260419,68,0,0,0,113,0,0,0,38,0,0,0,4,0,0,0,8,0,0,0,246,0,0,0
/ninja-foodi-max-xxxl-dual-zone-95l-air-fryer-af400,20260222,39,0,0,0,106,0,0,0,29,0,0,0,29,0,0,0,12,0,0,0,246,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260228,73,0,0,0,109,0,0,0,16,0,0,0,11,0,0,0,14,0,0,0,244,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260419,222,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,244,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11,20260406,57,0,0,0,81,0,0,0,22,0,0,0,30,0,0,0,23,0,0,0,243,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11,20260404,46,0,0,0,88,0,0,0,17,0,0,0,32,0,0,0,26,0,0,0,242,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260421,53,0,0,0,129,0,0,0,22,0,0,0,5,0,0,0,9,0,0,0,241,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260427,72,0,0,0,104,0,0,0,10,0,0,0,14,0,0,0,12,0,0,0,242,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260313,228,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,242,0,0,0
/philips-2000-series-62-litre-xl-airfryer-black-na23000,20260412,34,0,0,0,95,0,0,0,29,0,0,0,5,0,0,0,18,0,0,0,242,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260309,98,0,0,0,77,0,0,0,37,0,0,0,5,0,0,0,8,0,0,0,241,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260414,68,0,0,0,128,0,0,0,12,0,0,0,5,0,0,0,5,0,0,0,240,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260415,42,0,0,0,126,0,0,0,24,0,0,0,3,0,0,0,16,0,0,0,240,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260323,64,0,0,0,119,0,0,0,16,0,0,0,6,0,0,0,12,0,0,0,240,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260406,74,0,0,0,89,0,0,0,31,0,0,0,6,0,0,0,9,0,0,0,240,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260310,219,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,240,0,0,0
/hisense-124l-bar-fridge-hrbf126b?utm_pmaxpaidsearch=,20260131,224,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,239,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260305,231,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,239,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260218,41,0,0,0,120,0,0,0,16,0,0,0,1,0,0,0,34,0,0,0,238,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260319,44,0,0,0,116,0,0,0,30,0,0,0,9,0,0,0,14,0,0,0,238,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260301,105,0,0,0,72,0,0,0,23,0,0,0,12,0,0,0,11,0,0,0,237,0,0,0
/ninja-foodi-max-xxxl-dual-zone-95l-air-fryer-af400,20260221,49,0,0,0,98,0,0,0,21,0,0,0,18,0,0,0,16,0,0,0,237,0,0,0
/philips-2000-series-62-litre-xl-airfryer-black-na23000,20260404,33,0,0,0,112,0,0,0,32,0,0,0,7,0,0,0,26,0,0,0,237,0,0,0
/ninja-foodi-max-xxxl-dual-zone-95l-air-fryer-af400,20260213,40,0,0,0,69,0,0,0,19,0,0,0,74,0,0,0,4,0,0,0,236,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260130,57,0,0,0,106,0,0,0,20,0,0,0,1,0,0,0,28,0,0,0,235,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260422,65,0,0,0,120,0,0,0,14,0,0,0,2,0,0,0,14,0,0,0,234,0,0,0
/dyson-v10-cordless-vacuum-447954-01,20260423,21,0,0,0,88,0,0,0,40,0,0,0,3,0,0,0,13,0,0,0,233,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11,20260321,31,0,0,0,91,0,0,0,16,0,0,0,22,0,0,0,12,0,0,0,232,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11?utm_pmaxpaidsearch=,20260223,214,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,232,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260314,66,0,0,0,103,0,0,0,22,0,0,0,5,0,0,0,12,0,0,0,230,0,0,0
/hisense-124l-bar-fridge-hrbf126b?utm_pmaxpaidsearch=,20260302,221,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,231,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260424,60,0,0,0,96,0,0,0,19,0,0,0,12,0,0,0,18,0,0,0,230,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260331,50,0,0,0,124,0,0,0,14,0,0,0,6,0,0,0,12,0,0,0,230,0,0,0
/jbl-sb510-31ch-soundbar-with-built-in-sub-6082378?utm_pmaxpaidsearch=,20260406,219,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,230,0,0,0
/dyson-v10-cordless-vacuum-447954-01,20260426,27,0,0,0,104,0,0,0,28,0,0,0,9,0,0,0,20,0,0,0,229,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11,20260314,41,0,0,0,97,0,0,0,24,0,0,0,25,0,0,0,7,0,0,0,229,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260215,47,0,0,0,121,0,0,0,23,0,0,0,5,0,0,0,9,0,0,0,226,0,0,0
/hisense-124l-bar-fridge-hrbf126b?utm_pmaxpaidsearch=,20260227,214,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,225,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260226,26,0,0,0,104,0,0,0,50,0,0,0,10,0,0,0,15,0,0,0,225,0,0,0
/philips-2000-series-62-litre-xl-airfryer-black-na23000,20260228,27,0,0,0,92,0,0,0,22,0,0,0,32,0,0,0,16,0,0,0,225,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260409,46,0,0,0,123,0,0,0,24,0,0,0,4,0,0,0,15,0,0,0,223,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11,20260315,48,0,0,0,76,0,0,0,25,0,0,0,14,0,0,0,22,0,0,0,223,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260410,59,0,0,0,120,0,0,0,16,0,0,0,3,0,0,0,16,0,0,0,223,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260325,54,0,0,0,117,0,0,0,15,0,0,0,4,0,0,0,10,0,0,0,222,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260304,31,0,0,0,123,0,0,0,14,0,0,0,5,0,0,0,30,0,0,0,221,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260308,59,0,0,0,97,0,0,0,27,0,0,0,3,0,0,0,17,0,0,0,220,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260330,56,0,0,0,97,0,0,0,21,0,0,0,5,0,0,0,12,0,0,0,220,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260305,94,0,0,0,68,0,0,0,34,0,0,0,4,0,0,0,5,0,0,0,220,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260318,87,0,0,0,80,0,0,0,26,0,0,0,2,0,0,0,11,0,0,0,219,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11,20260403,37,0,0,0,82,0,0,0,13,0,0,0,53,0,0,0,12,0,0,0,219,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260226,47,0,0,0,99,0,0,0,29,0,0,0,5,0,0,0,12,0,0,0,219,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260423,198,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260225,52,0,0,0,105,0,0,0,27,0,0,0,2,0,0,0,19,0,0,0,218,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260429,73,0,0,0,89,0,0,0,12,0,0,0,1,0,0,0,24,0,0,0,217,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260316,94,0,0,0,65,0,0,0,23,0,0,0,4,0,0,0,7,0,0,0,217,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260416,201,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,217,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11,20260222,38,0,0,0,99,0,0,0,9,0,0,0,31,0,0,0,18,0,0,0,216,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260302,67,0,0,0,116,0,0,0,17,0,0,0,0,0,0,0,6,0,0,0,215,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260420,200,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0
/ninja-foodi-max-xxxl-dual-zone-95l-air-fryer-af400,20260131,24,0,0,0,53,0,0,0,109,0,0,0,7,0,0,0,9,0,0,0,215,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260404,56,0,0,0,89,0,0,0,17,0,0,0,11,0,0,0,10,0,0,0,214,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260406,62,0,0,0,95,0,0,0,14,0,0,0,5,0,0,0,10,0,0,0,214,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260306,77,0,0,0,79,0,0,0,27,0,0,0,6,0,0,0,9,0,0,0,214,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260306,200,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260315,61,0,0,0,90,0,0,0,13,0,0,0,14,0,0,0,12,0,0,0,213,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260208,201,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,213,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260208,48,0,0,0,110,0,0,0,9,0,0,0,1,0,0,0,28,0,0,0,212,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260416,51,0,0,0,92,0,0,0,28,0,0,0,8,0,0,0,9,0,0,0,212,0,0,0
/ninja-foodi-max-xxxl-dual-zone-95l-air-fryer-af400,20260406,33,0,0,0,86,0,0,0,15,0,0,0,3,0,0,0,30,0,0,0,212,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260316,42,0,0,0,99,0,0,0,29,0,0,0,5,0,0,0,20,0,0,0,211,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260407,57,0,0,0,113,0,0,0,18,0,0,0,2,0,0,0,7,0,0,0,211,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260408,52,0,0,0,112,0,0,0,22,0,0,0,10,0,0,0,7,0,0,0,211,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260317,89,0,0,0,79,0,0,0,21,0,0,0,3,0,0,0,11,0,0,0,210,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260407,70,0,0,0,84,0,0,0,27,0,0,0,8,0,0,0,2,0,0,0,211,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260411,50,0,0,0,111,0,0,0,13,0,0,0,5,0,0,0,16,0,0,0,210,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260425,59,0,0,0,91,0,0,0,14,0,0,0,13,0,0,0,11,0,0,0,210,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260322,47,0,0,0,117,0,0,0,10,0,0,0,3,0,0,0,16,0,0,0,210,0,0,0
/philips-2000-series-62-litre-xl-airfryer-black-na23000,20260405,33,0,0,0,98,0,0,0,26,0,0,0,6,0,0,0,12,0,0,0,209,0,0,0
/eufy-clean-robovac-l60-ses-t2278t11,20260322,31,0,0,0,82,0,0,0,20,0,0,0,21,0,0,0,20,0,0,0,208,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260205,45,0,0,0,103,0,0,0,18,0,0,0,1,0,0,0,24,0,0,0,208,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260324,56,0,0,0,94,0,0,0,10,0,0,0,7,0,0,0,20,0,0,0,208,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401?utm_pmaxpaidsearch=,20260312,195,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,208,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260209,42,0,0,0,106,0,0,0,12,0,0,0,1,0,0,0,26,0,0,0,205,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260205,44,0,0,0,108,0,0,0,18,0,0,0,7,0,0,0,10,0,0,0,205,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260418,55,0,0,0,88,0,0,0,35,0,0,0,12,0,0,0,2,0,0,0,205,0,0,0
/hisense-124l-bar-fridge-hrbf126,20260402,48,0,0,0,100,0,0,0,17,0,0,0,8,0,0,0,6,0,0,0,204,0,0,0
/hisense-124l-bar-fridge-hrbf126b,20260401,55,0,0,0,102,0,0,0,16,0,0,0,8,0,0,0,14,0,0,0,204,0,0,0
