batch,url,page_type,priority,copy,chars,Flag
Batch 2,https://www.thegoodguys.com.au/haier/fridges-and-freezers/refrigerators,B2,25,"Keep food fresher with Haier Refrigerators offering flexible storage, multi-airflow cooling, and spacious French door, quad door, and bottom mount designs. Explore efficient capacities and stylish finishes at The Good Guys.",223,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/haier/fridges-and-freezers/refrigerators/bottom-mount-fridges,B3,24,Haier bottom mount fridges use Total No Frost and MultiAirFlow circulation across 350L to 490L capacities with bottom-drawer freezer compartments. Shop the Haier bottom mount range at The Good Guys in single and twin drawer configurations.,239,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/fisher-and-paykel/fridges-and-freezers,B1,657,"Fisher & Paykel fridges and freezers apply ActiveSmart Foodcare intelligence across French door, bottom mount, top mount and column formats. Shop the F&P range at The Good Guys for freestanding, integrated and ice dispenser models.",231,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/lg/fridges-and-freezers/refrigerators/french-door-fridges,B3,230,LG French door fridges combine InstaView knock-twice panels and Door-in-Door storage with Linear Compressor technology across 600L to 710L formats. Choose LG at The Good Guys for French door models with ThinQ app control and HygieneFRESH+ filtration.,250,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/samsung/fridges-and-freezers/refrigerators/french-door-fridges,B3,57,"Stay organised with Samsung French Door Fridges from The Good Guys, offering wide shelves, advanced cooling and generous capacity for fresh groceries. Save time with smart storage, ice and water dispensers, and stylish finishes that.",233,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/samsung/fridges-and-freezers/refrigerators/bottom-mount-fridges,B3,50,"Keep groceries organised with Samsung bottom mount fridges offering family-size capacity, efficient cooling, and easy access to fresh food at eye level. Explore black or silver finishes at The Good Guys for smart storage, flexible.",231,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/samsung/fridges-and-freezers/refrigerators/side-by-side-fridges,B3,49,"Keep groceries organised with Samsung Side by Side Fridges offering generous capacity, easy shelf access, and efficient cooling. Find SpaceMax designs and smart storage options at The Good Guys to streamline meal prep and reduce.",229,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/haier/fridges-and-freezers/refrigerators/french-door-fridges,B3,41,"Store more with Haier French Door Fridges offering generous capacity, wide shelving and flexible compartments for organised food storage. Discover efficient cooling, modern finishes and smart storage options at The Good Guys to keep.",233,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/fridges-and-freezers/refrigerators/top-mount-fridges,B3,21,"Keep food fresher with Westinghouse Top Mount Fridges offering organised storage, consistent cooling and flexible capacity. Explore energy-conscious models and reversible door options at The Good Guys to match different kitchen.",228,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/chiq/fridges-and-freezers/refrigerators/side-by-side-fridges,B3,0,"Protect your groceries with CHiQ side by side fridges from The Good Guys, offering spacious interiors, multi-airflow cooling and precise temperature control. Save time with quick access storage, efficient LED lighting and water.",228,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/fridges-and-freezers/refrigerators/french-door-fridges,B3,104,Westinghouse French door fridges use FreshSeal humidity-controlled crispers and wide dual-door access across 490L to 630L with bottom-mount freezer drawers. Discover Westinghouse at The Good Guys in ice dispenser and quad-door configurations.,242,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/hisense/fridges-and-freezers/freezers/upright-freezers,B3,95,"Keep food organised with Hisense Upright Freezers offering vertical storage, multiple capacity options, and reversible doors to suit your kitchen layout. Shop efficient freestanding designs at The Good Guys for flexible freezing.",229,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hisense/fridges-and-freezers/refrigerators/side-by-side-fridges,B3,48,"Keep everyday essentials organised with Hisense side by side fridges offering generous capacity, full-height storage, and easy access shelving. Shop Hisense refrigerators at The Good Guys for modern flat-door styling, water and ice.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/fridges-and-freezers/refrigerators/bottom-mount-fridges,B3,40,"Keep groceries fresher with Westinghouse bottom mount fridges, combining eye-level refrigeration with spacious freezer storage below. Explore flexible shelving, efficient cooling and family-ready capacities from The Good Guys.",226,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hisense/fridges-and-freezers/refrigerators/single-door-fridges,B3,4,"Protect your groceries with Hisense single door fridges from The Good Guys, offering dedicated fridge capacity, adjustable shelving, and efficient cooling. Streamline kitchen storage with minimalist designs that maximise internal.",230,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hisense/fridges-and-freezers/refrigerators/french-door-fridges,B3,99,Hisense French door fridges pair MyZone adjustable temperature drawers with multi-airflow cooling across 570L to 640L wide-format layouts. Shop Hisense at The Good Guys for French door models with water dispensers and glass crisper drawers.,240,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/lg/fridges-and-freezers/refrigerators/side-by-side-fridges,B3,63,LG Side by Side Fridges use Door-in-Door access and Linear Compressor technology across 600L plus formats with full-height fridge and freezer columns. Choose LG at The Good Guys for Side by Side models with InstaView panels and ThinQ connectivity.,247,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/hisense/fridges-and-freezers/freezers/chest-freezers,B3,60,"Keep more food frozen and organised with Hisense Chest Freezers from The Good Guys, offering generous capacity, hybrid cooling modes and adjustable baskets. Save time with flexible storage options that suit bulk buys, meal prep.",228,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/lg/fridges-and-freezers/refrigerators,B2,57,"LG refrigerators use Linear Compressor and Multi Air Flow cooling across top mount, bottom mount, French door and side-by-side formats. Find LG refrigerators at The Good Guys from 300L to 700L with InstaView and HygieneFRESH+ options.",234,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/lg/fridges-and-freezers/refrigerators/bottom-mount-fridges,B3,52,"Keep fresh food at eye level with LG Bottom Mount Fridges from The Good Guys, designed for easy access and efficient cooling. Save time with spacious layouts, flexible shelving and separate freezer storage to organise groceries.",228,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/fridges-and-freezers/freezers/upright-freezers,B3,38,"Protect your food storage with Westinghouse Upright Freezers offering generous capacity, fast-freeze performance and organised shelving. Find energy-efficient, space-smart upright freezers at The Good Guys to keep frozen ingredients.",233,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hisense/fridges-and-freezers/refrigerators/bottom-mount-fridges,B3,30,Hisense bottom mount fridges deliver multi-airflow cooling and LED-lit interiors across 280L to 490L capacities with reversible doors. Shop Hisense at The Good Guys for bottom mount models with glass shelves and convertible temperature zones.,242,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/westinghouse/fridges-and-freezers/freezers/chest-freezers,B3,20,"Store more and save time with Westinghouse Chest Freezers from The Good Guys, offering spacious capacities and quick-freeze performance. Keep groceries organised with deep baskets, wide openings, and efficient cooling ideal for bulk.",233,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/lg/fridges-and-freezers/refrigerators/top-mount-fridges,B3,16,"Keep groceries fresher for longer with LG Top Mount Fridges offering efficient cooling, spacious shelving, and convenient top-positioned freezers. Discover energy-saving performance and modern finishes from The Good Guys to streamline.",235,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/chiq/fridges-and-freezers/freezers/chest-freezers,B3,15,"Store more with CHiQ chest freezers from The Good Guys, offering spacious capacities, fast-freeze options, and flexible storage. Keep groceries organised and at optimal temperatures with hybrid modes that adapt to bulk buys, meal.",230,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hisense/fridges-and-freezers/refrigerators/top-mount-fridges,B3,14,"Stay organised with Hisense top mount fridges from The Good Guys, offering flexible storage, humidity-controlled crispers and energy-efficient cooling. Keep fresh and frozen food accessible with adjustable shelves, reversible doors.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/chiq/fridges-and-freezers/freezers/upright-freezers,B3,5,"Store more with CHiQ upright freezers from The Good Guys, offering generous capacity, flexible shelving, and fast-freeze performance. Keep food organised, accessible, and efficiently preserved to support weekly meal planning and bulk shopping.",243,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/chiq/fridges-and-freezers/refrigerators/top-mount-fridges,B3,4,"Keep food fresh with CHiQ Top Mount Fridges from The Good Guys, combining spacious refrigeration, efficient cooling, and accessible freezer storage. Stay organised with adjustable shelving, reversible doors, and sizes to suit compact.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/fridges-and-freezers,B1,76,"Westinghouse fridges and freezers use FreshSeal humidity-controlled crispers across French door, bottom mount, top mount and chest freezer formats. Explore Westinghouse at The Good Guys for energy-rated frost-free models with ice dispensers.",241,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/hisense/fridges-and-freezers,B1,272,"Hisense fridges and freezers span French door, bottom mount, top mount and chest formats with multi-airflow cooling and MyZone temperature drawers. Explore Hisense at The Good Guys for water dispensers, glass crispers and slim French door designs.",247,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances/mixers-and-food-processors/stand-mixers,B3,235,"Save time with KitchenAid stand mixers from The Good Guys, built for powerful mixing, kneading and whipping. Explore multiple bowl sizes, robust motors and versatile attachments to handle dough, batters and more with consistent, precise results.",245,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/haier/fridges-and-freezers,B1,223,"Haier fridges and freezers use Total No Frost and MultiAirFlow cooling across French door, bottom mount, top mount and chest freezer formats. Find Haier models at The Good Guys from 140L bar fridges to 500L French door units with ZoneFlex drawers.",247,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances/toasters-and-kettles,B2,181,"Start your morning routine with KitchenAid toasters and kettles from The Good Guys, combining precise browning, rapid boiling, and durable power options. Save time with 2-slice or 4-slice toasters and variable temperature kettles.",230,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances/mixers-and-food-processors,B2,178,"Save time with KitchenAid food processors, stand mixers, blenders and choppers that speed up chopping, mixing and blending for precise results. Find powerful motors, generous bowl capacities and colour options at The Good Guys.",227,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances/coffee-machines-and-beverages/coffee-machines,B3,133,"Start your day with rich, barista-style coffee using KitchenAid coffee machines from The Good Guys, offering precise temperature control and powerful extraction. Save time with semi automatic or fully automatic models designed.",227,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances/toasters-and-kettles/kettles-and-urns,B3,127,"Stay comfortable with KitchenAid kettles from The Good Guys, offering rapid 2400W boiling and precise temperature control for your daily brew. Choose stylish colours and generous 1.7L capacity to suit your kitchen and make hot drinks.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/uniden/phones-and-wearables/home-phones-and-walkie-talkies/cordless-and-corded-phones,B3,100,"Stay connected with Uniden cordless and corded phones offering clear audio, easy-to-read displays, and multiple handset options. Discover caller ID, answering machines, and accessibility-focused models at The Good Guys to suit home.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances/mixers-and-food-processors/blenders,B3,70,"Blend faster with KitchenAid Blenders from The Good Guys, offering powerful motors and multiple speeds for silky smoothies, soups and icy drinks. Stay efficient with generous jug capacities and durable blades designed for daily kitchen tasks.",242,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances/mixers-and-food-processors/stick-mixers,B3,67,"Create silky soups and smooth purees with KitchenAid stick mixers from The Good Guys, designed for precise blending in the pot. Save time with cordless or corded options, multiple attachments, and compact designs that handle chopping,.",235,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances/mixers-and-food-processors/food-processors,B3,61,"Save time with KitchenAid Food Processors from The Good Guys, offering powerful motors and generous bowl capacities for fast slicing, chopping and shredding. Streamline everyday meal prep with options from compact choppers.",223,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/fridges-and-freezers/refrigerators/side-by-side-fridges,B3,39,"Keep groceries organised with Westinghouse Side by Side Fridges, offering generous capacity, adjustable shelving, and easy access to fresh and frozen food. Discover energy-efficient cooling and practical storage from The Good Guys.",231,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/uniden/smart-home/home-security/security-cameras,B3,36,"Protect your home with Uniden Security Cameras from The Good Guys, offering clear 2K monitoring, indoor and outdoor options, and smart motion alerts. Stay informed with wireless setups, solar-powered models, and app control to help.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances/toasters-and-kettles/4-slice-toasters,B3,30,"Toast faster with KitchenAid 4-slice toasters from The Good Guys, offering extra-wide slots, browning control, and independent pairs for flexible toasting. Save time on busy mornings with durable power, multiple shade settings,.",228,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances/toasters-and-kettles/2-slice-toasters,B3,21,"Start your mornings smoothly with KitchenAid 2-slice toasters offering consistent browning, wide slots, and adjustable settings. Find stylish colour options and simple controls at The Good Guys for a neat, efficient upgrade to your breakfast routine.",250,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/cooking-and-dishwashers/rangehoods/slideout-rangehoods,B3,19,"Stay comfortable in a fresher kitchen with Westinghouse slideout rangehoods offering strong extraction, multi-speed fan control and efficient lighting. Explore compact 60cm and wide 90cm models at The Good Guys to minimise smoke,.",230,clone:first5_words_x3 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/fridges-and-freezers/freezers,B2,15,"Keep food organised with Westinghouse freezers offering spacious chest and upright designs, fast-freeze performance, and adjustable storage. Explore energy-efficient models from The Good Guys to maximise freezer capacity and maintain.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/bosch/cooking-and-dishwashers/rangehoods/slideout-rangehoods,B3,12,"Stay comfortable in a fresher kitchen with Bosch Slideout Rangehoods, combining strong extraction, adjustable fan speeds and efficient lighting. Discover compact slideout designs at The Good Guys that help control steam, smoke.",227,clone:first5_words_x3 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kitchenaid/small-kitchen-appliances,B1,6,"Save time with KitchenAid small kitchen appliances that simplify prep, blending, and toasting with powerful motors and generous capacities. Explore mixers, food processors, kettles and more at The Good Guys for efficient, stylish benchtop solutions.",249,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/haier/fridges-and-freezers/refrigerators/side-by-side-fridges,B3,5,"Protect your groceries with Haier side by side fridges offering spacious shelving, efficient cooling, and fast access to fresh and frozen food. Explore large-capacity, easy-organise Haier refrigerators at The Good Guys for streamlined.",235,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/chef/cooking-and-dishwashers/rangehoods/slideout-rangehoods,B3,0,"Stay comfortable in the kitchen with Chef slideout rangehoods that help reduce smoke, steam and odours while cooking. Discover compact 60cm pull-out designs at The Good Guys, offering practical extraction and easy integration with your cabinetry.",246,clone:first5_words_x3 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/nespresso/small-kitchen-appliances/coffee-machines-and-beverages/coffee-machines,B3,1153,"Start each day with rich café-style coffee using Nespresso coffee machines offering barista-style milk texturing, fast heat-up, and consistent extraction. Discover compact Vertuo and Creatista capsule machines at The Good Guys.",227,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/delonghi/small-kitchen-appliances/coffee-machines-and-beverages/coffee-machines,B3,1074,"Savour café-style results at home with DeLonghi coffee machines from The Good Guys, offering precise temperature control, rich extraction and custom drink settings. Choose from automatic and manual models with integrated grinders.",230,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/ninja/small-kitchen-appliances/benchtop-cooking/air-fryers,B3,873,"Save time with Ninja Air Fryers from The Good Guys, combining rapid hot air circulation with even cooking for crisp results. Choose compact to XXXL dual-zone and double-drawer models that handle weeknight dinners, snacks, and grilling.",235,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/eufy/smart-home/home-security/security-cameras,B3,826,"Stay secure with eufy security cameras offering 2K–4K resolution, motion alerts and smart app control for clearer monitoring indoors or out. Find wire-free kits, floodlight cameras and video door locks at The Good Guys to streamline home protection.",249,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/shark/vacuums-and-cleaners/vacuum-cleaners,B2,802,"Save time with Shark Vacuum Cleaners from The Good Guys, combining powerful suction, bagless convenience and advanced filtration for a thorough clean on carpets and hard floors. Tackle pet hair, everyday mess and tight spaces.",226,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/breville/small-kitchen-appliances/coffee-machines-and-beverages,B2,669,"Breville coffee machines use ThermoJet and ThermoCoil heating systems across Barista Express, Oracle Touch and Bambino Plus formats. Discover Breville coffee machines at The Good Guys from entry-level pump models to dual-boiler automatics.",239,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/delonghi/small-kitchen-appliances/toasters-and-kettles,B2,664,"Start your day smoothly with DeLonghi toasters and kettles offering fast boiling, even browning, and versatile slice options. Discover coordinated breakfast packs and stylish finishes at The Good Guys to streamline busy mornings.",229,clone:first5_words_x4 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/jbl/audio/portable-audio/party-speakers,B3,503,"Turn up every event with JBL party speakers from The Good Guys, delivering powerful bass, clear vocals and dynamic light shows. Choose portable Bluetooth models with long battery life, splash resistance and microphone inputs.",225,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/delonghi/heating-and-cooling/air-conditioners/portable-air-conditioners,B3,480,"Stay cool with DeLonghi portable air conditioners offering efficient kW cooling, multi-mode operation and convenient portability. Explore smart controls, dehumidifying power and compact designs at The Good Guys for flexible comfort.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/shark/health-and-grooming/hair-styling/hair-dryers,B3,434,"Protect your hair with Shark hair dryers from The Good Guys, combining powerful airflow, rapid drying, and targeted styling control. Achieve smooth, glossy results with advanced heat settings and precision attachments designed.",227,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/nutribullet/small-kitchen-appliances/mixers-and-food-processors/blenders,B3,395,"Blend faster with NutriBullet blenders from The Good Guys, designed for smooth shakes, icy drinks and meal prep in seconds. Choose from compact portable units to powerful 1200W systems with multiple cups and blades for everyday nutrition.",238,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/breville/small-kitchen-appliances/toasters-and-kettles,B2,364,"Start every morning with Breville toasters and kettles delivering quick heating, precise browning, and convenient capacity options. Discover 2-slice, 4-slice, and digital models at The Good Guys to streamline breakfast prep and match.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/lenovo/computers-tablets-and-gaming/ipad-and-tablets/tablets,B3,72,"Boost productivity with Lenovo Tablets from The Good Guys, offering sharp displays, fast processors, and long-lasting battery life for work, study, and entertainment. Access versatile screen sizes, ample storage, and pen support.",229,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/eufy/smart-home/home-security/video-doorbells,B3,352,"Strengthen home security with eufy Video Doorbells from The Good Guys, offering sharp 2K visuals, motion alerts, and smart assistant compatibility. Stay informed at your door with wireless setups, dual-camera options, and straightforward.",238,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/asko/cooking-and-dishwashers/dishwashers,B2,35,"Protect your dishes with ASKO dishwashers delivering powerful cleaning, low water use and quiet operation. Discover built-in, integrated and freestanding models at The Good Guys for efficient cycles, spacious interiors and finishes.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/smeg/small-kitchen-appliances/toasters-and-kettles/kettles-and-urns,B3,339,"Stay comfortable with Smeg kettles and urns that offer rapid boiling, precise temperature control and generous capacities for daily hot drinks. Discover stylish 50s-inspired designs and compact options at The Good Guys to match.",228,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/google/phones-and-wearables/mobile-phones,B2,316,"Stay connected with Google Pixel mobile phones from The Good Guys, offering sharp cameras, fast 5G performance, and powerful processors. Capture detail-rich photos, multitask smoothly, and choose storage options that suit your apps,.",233,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/smeg/small-kitchen-appliances/coffee-machines-and-beverages/coffee-machines,B3,278,"Start your day strong with Smeg coffee machines offering precise extraction, adjustable settings, and integrated grinders. Explore retro-inspired espresso, bean-to-cup and drip filter options at The Good Guys for café-style results at home.",240,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/shark/vacuums-and-cleaners/vacuum-cleaners/stick-vacuums,B3,255,"Save time with Shark stick vacuums from The Good Guys, combining powerful suction, cordless convenience, and self‑cleaning brushrolls. Tackle carpets, hard floors, and pet hair with lightweight designs, multi-surface cleaning modes,.",233,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/cooking-and-dishwashers/dishwashers,B2,26,"Protect your kitchen routine with Westinghouse Dishwashers from The Good Guys, offering spacious 60cm designs, multiple wash programs and strong water and energy ratings. Save time on cleaning while stainless steel and white finishes.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/lenovo/computers-tablets-and-gaming/desktop-and-laptop/laptops,B3,34,"Power through study, work, and entertainment with Lenovo Laptops & Notebook Computers offering fast processors, vivid displays, and flexible 2-in-1 designs. Find Lenovo models at The Good Guys to boost productivity, streamline.",227,clone:first5_words_x4 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/ecovacs/vacuums-and-cleaners/vacuum-and-cleaning-accessories,B2,231,"Keep floors spotless with Ecovacs vacuum and cleaning accessories from The Good Guys, including antibacterial filters, dust bags and mop pads. Maintain strong suction, efficient mopping and hygienic dust collection while extending.",231,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/navman/phones-and-wearables/gps/dash-cams,B3,230,"Stay safer on every drive with Navman dash cams from The Good Guys, offering crisp recording, parking modes and wide-angle coverage. Capture incidents, safeguard insurance claims and choose from single or dual channel setups tailored.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/ring/smart-home/home-security/security-cameras,B3,227,"Stay secure with Ring security cameras offering HD video, motion alerts and two-way talk to monitor every angle. Find indoor, outdoor and floodlight options at The Good Guys to boost smart home protection and integrate with Amazon.",231,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/beefeater/bbqs-and-outdoor-cooking/bbqs,B2,226,"Fire up outdoor cooking with BeefEater BBQs offering powerful burners, spacious grills and precise heat control. Explore built-in and freestanding options at The Good Guys for durable barbecues that handle weeknight dinners and larger.",235,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/breville/small-kitchen-appliances/coffee-machines-and-beverages/coffee-grinders,B3,225,"Grind fresh beans with precise Breville coffee grinders from The Good Guys, designed for consistent extraction and café-style results at home. Save time with adjustable grind settings, durable construction, and options for both coffee and spices.",246,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/jbl/audio/portable-audio/portable-bluetooth-speakers,B3,214,"Stay connected on the go with JBL portable Bluetooth speakers offering powerful sound, long battery life, and durable designs. Discover compact, waterproof options at The Good Guys for music at home, outdoors, and anywhere you need wireless audio.",247,clone:first5_words_x3 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/miele/vacuums-and-cleaners/vacuum-cleaners/stick-vacuums,B3,211,"Save time with Miele stick vacuums from The Good Guys, offering cordless convenience, strong suction and lightweight handling. Capture fine dust, tackle pet hair and switch easily between floors and above-floor cleaning for a more.",231,entity:no_named_tech_in_S1
